coc_id,year,cells_observed,cells_yes,crim_activity_index,engaged_policymakers_crim,engaged_law_enforce_crim,implemented_anticrim_practice
NY-601,2022,6,3,0.5,1,1,0
NY-601,2023,6,3,0.5,1,1,0
NY-601,2024,6,6,1.0,1,1,1
NY-603,2022,6,5,0.833,1,1,1
NY-603,2023,6,6,1.0,1,1,1
NY-603,2024,6,6,1.0,1,1,1
NY-604,2022,6,3,0.5,1,1,0
NY-604,2023,6,3,0.5,1,1,0
NY-604,2024,6,2,0.333,1,1,1
NY-606,2022,6,3,0.5,1,1,0
NY-606,2023,6,3,0.5,1,1,0
NY-606,2024,6,6,1.0,1,1,1
NY-608,2023,6,3,0.5,1,1,0
NY-608,2024,6,6,1.0,1,1,1
OH-500,2022,6,4,0.667,1,1,1
OH-500,2023,6,5,0.833,1,1,1
OH-500,2024,6,6,1.0,1,1,1
OH-501,2024,6,6,1.0,1,1,1
OH-502,2022,6,3,0.5,1,1,0
OH-502,2023,6,3,0.5,1,1,0
OH-502,2024,6,6,1.0,1,1,1
OH-503,2023,6,3,0.5,1,1,0
OH-503,2024,6,6,1.0,1,1,1
OH-504,2022,6,2,0.333,1,1,0
OH-504,2023,6,3,0.5,1,1,1
OH-504,2024,6,2,0.333,1,1,0
OH-505,2022,6,4,0.667,1,1,1
OH-505,2023,6,3,0.5,1,1,0
OH-505,2024,6,5,0.833,1,1,1
OH-506,2024,6,6,1.0,1,1,1
OH-507,2022,6,6,1.0,1,1,1
OH-507,2023,6,6,1.0,1,1,1
OH-507,2024,6,3,0.5,1,1,0
OH-508,2023,6,3,0.5,1,1,0
OH-508,2024,6,4,0.667,1,1,1
OK-500,2024,6,1,0.167,1,1,0
OK-501,2022,6,6,1.0,1,1,1
OK-501,2023,6,6,1.0,1,1,1
OK-501,2024,6,4,0.667,1,1,1
OK-502,2022,6,6,1.0,1,1,1
OK-502,2023,6,6,1.0,1,1,1
OK-502,2024,6,6,1.0,1,1,1
OK-503,2024,6,3,0.5,1,1,0
OK-504,2023,6,6,1.0,1,1,1
OK-504,2024,6,6,1.0,1,1,1
OK-505,2024,6,2,0.333,1,1,0
OK-507,2022,6,2,0.333,1,1,0
OK-507,2024,6,1,0.167,1,0,0
OR-500,2022,6,6,1.0,1,1,1
OR-500,2023,6,6,1.0,1,1,1
OR-501,2022,6,6,1.0,1,1,1
OR-502,2024,6,6,1.0,1,1,1
OR-503,2024,6,4,0.667,1,1,1
OR-504,2022,6,6,1.0,1,1,1
OR-504,2024,6,6,1.0,1,1,1
OR-505,2022,6,3,0.5,1,1,0
OR-505,2023,6,4,0.667,1,1,1
OR-505,2024,6,3,0.5,1,1,0
OR-506,2023,6,6,1.0,1,1,1
